"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R04D02_VL46-0475-05292019|NODE_2_length_3790_cov_1232.870415_868_4_1|TTV_Clade3","R04","1232.870415",NA,0.0870419568327229,NA,NA,NA,NA,NA,0.116011728837668,NA,1.52126758309924e-05,4.28777548064177e-06
"R04D02_VL46-0475-05292019|NODE_22_length_2835_cov_5.793165_418_4_1|TLMV","R04","5.793165",NA,0.000471601716630249,NA,NA,NA,NA,NA,0.000554768580861164,NA,NA,NA
"R04D02_VL46-0475-05292019|NODE_31_length_2483_cov_12.184514_210_6_1|TTMV","R04","12.184514",NA,0.000896043261597472,NA,NA,NA,NA,NA,0.0010201523816186,0.176611453265285,0.124531488927533,0.010525059546482
"R04D02_VL46-0475-05292019|NODE_32_length_2385_cov_2.428755_26_2_1|TTV_Clade6","R04","2.428755",NA,0.000141480514989075,NA,NA,NA,NA,NA,0.0042622938077722,NA,NA,NA
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_10_length_3039_cov_64.641756_334_4_1|TTV_Clade5","R04","64.641756",NA,0.11988901639602,NA,NA,NA,NA,NA,NA,NA,4.51134524643223e-05,NA
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_15_length_2931_cov_30.754520_337_4_1|TTV_Clade3","R04","30.754520",0.000334209102851402,0.056969487368934,NA,NA,NA,NA,NA,0.000198201034143043,1.92191453438257e-06,NA,0.000700336661838155
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_16_length_2927_cov_20.155989_356_2_1|TTV_Clade5","R04","20.155989",NA,0.034081084055146,NA,NA,NA,NA,NA,0.000158366512575078,NA,0.00014530728293741,0.000115769937977328
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_2_length_3518_cov_41.939648_371_2_1|TTV_Clade3","R04","41.939648",NA,0.0786317262194834,NA,NA,NA,NA,NA,NA,0.00289632520331453,0.000935841851120361,0.000932591167039584
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_3_length_3406_cov_22.421665_319_1_1|TTV_Clade3","R04","22.421665",NA,0.0362032917799821,NA,NA,NA,NA,NA,0.0227960336475403,NA,1.46881008023375e-05,1.00048094548308e-05
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_4_length_3313_cov_8.451811_929_2_1|TTMV","R04","8.451811",NA,0.0128511467781743,NA,NA,NA,NA,NA,0.0014667524242383,NA,0.0156129265778561,0.0661675219587702
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_5_length_3297_cov_14.394201_472_4_1|TTV_Clade1","R04","14.394201",NA,0.0260559948438212,NA,NA,NA,NA,NA,0.00200468039435529,NA,NA,0.0112482643442169
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_6_length_3239_cov_58.611809_684_6_1|TTV_Clade3","R04","58.611809",NA,0.095868768962319,NA,NA,NA,NA,NA,0.0119911625656541,NA,NA,NA
