orf,coverage_2,sample,source,D01,D02,D03,D04,D05,D06,T00,T01,T02,T03,T04
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_36_length_2521_cov_20.208029_313_4_1|TLMV,20.208029,R05,donor,NA,NA,NA,NA,NA,1.6779945538653338e-4,NA,NA,NA,4.966992166186068e-4,0.002135099675236867
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_37_length_2502_cov_78.568451_221_2_1|TTMV,78.568451,R05,donor,NA,NA,NA,NA,NA,6.889688432978642e-4,NA,NA,1.277908336492983e-4,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_38_length_2499_cov_6523.196399_257_2_1|TTMV,6523.196399,R05,donor,NA,NA,NA,NA,NA,0.04975134239564309,NA,NA,0.002049469954026909,0.01131442387349382,1.8626011299283494e-7
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_39_length_2498_cov_4538.726156_205_4_1|TTMV,4538.726156,R05,donor,NA,NA,NA,NA,NA,0.03815028269594602,NA,NA,0.03774375273662791,0.04279606733963271,1.1175606779570097e-6
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_4_length_3166_cov_361.162327_365_2_1|TTV_Clade5,361.162327,R05,donor,NA,NA,NA,NA,NA,0.0038170104220207565,NA,NA,0.015537649452433588,0.07779409497984541,0.005330391913628951
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_5_length_3130_cov_21.953171_555_3_1|TTV_Clade3,21.953171,R05,donor,NA,NA,NA,NA,NA,2.2555527607965792e-4,NA,NA,7.963972919180651e-4,0.00575020371143336,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_6_length_3117_cov_136.780209_645_6_1|TLMV,136.780209,R05,donor,NA,NA,NA,NA,NA,0.0013372693868177294,NA,NA,0.0012958201258973015,2.506319406788909e-4,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_7_length_3053_cov_833.214810_395_5_1|TTV_Clade5,833.21481000000006,R05,donor,NA,NA,NA,NA,NA,0.008478144377248718,NA,0.039545235138710284,0.0034021863521496933,0.014147488351612515,0.017690054231494497
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_8_length_3011_cov_183.677943_571_1_1|TLMV,183.677943,R05,donor,NA,NA,NA,NA,NA,0.00164211075994357,NA,NA,NA,3.2536505640864066e-4,1.0467818350197324e-4
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_9_length_2968_cov_102.408170_355_4_1|TTV_Clade5,102.40817,R05,donor,NA,NA,NA,NA,NA,0.0010095307356656205,NA,NA,0.0022531224839768505,NA,NA
R05D06_20190529_VL46-0475_multiplex_NextSeq|NODE_25_length_2834_cov_6.994602_374_2_1|TLMV,6.994602,R05,donor,NA,NA,NA,NA,NA,2.8023534300805984e-5,NA,NA,0.00930073427800211,0.0011244998507460786,NA
R05D06_20190529_VL46-0475_multiplex_NextSeq|NODE_35_length_2510_cov_2232.182077_262_1_1|TTMV,2232.182077,R05,donor,NA,NA,NA,NA,NA,0.010518394374514715,NA,NA,0.0023050516213255056,1.6984799029488584e-6,1.8626011299283495e-6
R06D01_20190410_VL46-0475_multiplex_nextseq|NODE_1_length_3523_cov_4.192618_516_3_1|TTV_Clade3,4.192618,R06,donor,0.007724535218643624,NA,NA,NA,NA,NA,1.6739203213927016e-5,0.021663219533159632,NA,NA,NA
R06D02_20190410_VL46-0475_multiplex_nextseq|NODE_3_length_3005_cov_431.558983_337_4_1|TTV_Clade7,431.558983,R06,donor,NA,0.15432970194177342,NA,NA,NA,NA,NA,NA,NA,NA,0.5663576920313286
R07D01_20190410_VL46-0475_multiplex_nextseq|NODE_2_length_3033_cov_129.020148_376_1_1|TTV_Clade5,129.020148,R07,donor,0.0012595510177068271,NA,NA,NA,NA,NA,NA,NA,0.0018518276514251498,NA,NA
R07D01_20190410_VL46-0475_multiplex_nextseq|NODE_3_length_2919_cov_90.749302_877_4_1|TLMV,90.749302,R07,donor,7.560771170938918e-4,NA,NA,NA,NA,NA,NA,0.043420645731796145,4.841185359780264e-5,NA,NA
R07D01_20190410_VL46-0475_multiplex_nextseq|NODE_5_length_2890_cov_4647.058554_536_2_1|TLMV,4647.058554,R07,donor,0.038615027500485975,NA,NA,NA,NA,NA,NA,NA,1.0395183287871732e-4,NA,NA
R07D01_20190410_VL46-0475_multiplex_nextseq|NODE_6_length_2876_cov_6.341014_507_3_1|TLMV,6.341014,R07,donor,5.266898340892372e-5,NA,NA,NA,NA,NA,NA,NA,NA,0.002271942448291434,NA
R07D01_20190410_VL46-0475_multiplex_nextseq|NODE_8_length_2863_cov_184.399217_206_2_1|TLMV,184.399217,R07,donor,0.001521163402402468,NA,NA,NA,NA,NA,NA,NA,6.058906830645238e-5,NA,NA
R07D03-TTVRCA_S7_20190205_VL46-0348_R07D02-R07T00_iseq|NODE_1_length_3545_cov_116.908309_359_2_1|TTV_Clade5,116.908309,R07,donor,NA,NA,0.17169411805543502,NA,NA,NA,NA,0.002485451483220327,3.088854462681886e-5,NA,2.1920426659184493e-6
R07D03-TTVRCA_S7_20190205_VL46-0348_R07D02-R07T00_iseq|NODE_2_length_3261_cov_163.158453_491_5_1|TTMV,163.158453,R07,donor,NA,NA,0.22505510526407138,NA,NA,NA,NA,NA,0.001416714979518519,NA,NA
R07D03-TTVRCA_S7_20190205_VL46-0348_R07D02-R07T00_iseq|NODE_4_length_3001_cov_27.235234_300_6_1|TTV_Clade7,27.235234,R07,donor,NA,NA,0.03729801968169117,NA,NA,NA,NA,0.04883752431142132,0.006458081868899512,NA,5.480106664796124e-6
R07D03-TTVRCA_S7_20190205_VL46-0348_R07D02-R07T00_iseq|NODE_5_length_2934_cov_10.276485_407_2_1|TTV_Clade6,10.276485,R07,donor,NA,NA,0.015611711821163892,NA,NA,NA,NA,NA,1.1880209471853407e-6,NA,NA
R10D02_20190408_VL46-0475_multiplex_nextseq|NODE_1_length_3714_cov_25.207707_842_5_1|TTV_Clade7,25.207707,R10,donor,NA,0.01245802868170835,NA,NA,NA,NA,NA,NA,0.5670366226661505,NA,NA
